CITYNAME,UNIQUEID,COPD,CHD,Diabetes,High Blood Pressure,High Cholesterol,Cholesterol Screening,Lack of Health Insurance,Taking Medicine for High Blood Pressure,Doctor Visits,Binge Drinking,Smoking,No Leisure Time,Obesity,Sleeping less than 7 hours
Nashville,4752006-47037015624,5.9,4,7.5,27.4,31.6,74.6,13.2,71.1,66.3,18.8,22.7,22.9,30.8,40
Nashville,4752006-47037015625,7,4.8,8.7,29.7,34.2,77.5,13.4,73.9,67,17.1,23.7,25,32,39.8
Nashville,4752006-47037015626,5.2,3.4,7.9,27.9,28.9,73,16.2,69,68,17.9,22.8,24.6,33.8,43.3
Nashville,4752006-47037015627,8.2,5.6,11.5,33.6,35.6,72.9,22.6,74.6,67.5,15.1,27.3,32.5,35.8,43.8
Nashville,4752006-47037015628,6.3,4.3,8.8,31.7,31.1,68.3,20.1,70.3,68.9,16.2,24.3,28.2,34.6,43.9
Nashville,4752006-47037015629,4.7,3,6.9,26.6,27.5,69.2,15.6,66.6,67.8,17.5,20.5,23,32.3,41.9
Nashville,4752006-47037015630,4.6,3,7.4,28.6,28.5,75.1,13.4,69.6,68.9,17.9,20.8,21.9,33.2,42.8
Nashville,4752006-47037015631,6.3,4.4,9.1,31.1,33.1,75.6,16.3,73.1,68.1,17,23.6,26,33.7,42.2
Nashville,4752006-47037015700,9.1,7.6,11.7,36.9,40.4,74,20.2,78.3,68,15.4,24.5,31.2,32.9,39.7
Nashville,4752006-47037015802,8.7,6.3,11.1,33,36.3,67.8,25.2,72.5,65,15.5,27.1,33.2,35.6,42.2
Nashville,4752006-47037015803,7.2,4.4,9.1,29.8,33.5,55.7,34.2,63.1,59.1,17.7,31.5,36,37.4,44.2
Nashville,4752006-47037015804,6.5,4.4,8.4,29.3,32.4,67.4,19.3,68.6,64.8,17.8,25,27.2,33.2,41.5
Nashville,4752006-47037015900,14,11.4,16.7,41.2,43.9,68.1,21.5,81.5,68.6,12.2,28.8,39.6,36,40.9
Nashville,4752006-47037016000,11.6,8.6,20.3,49.6,41.7,71.2,24.3,81.4,74.1,10.7,32.1,42.2,47.1,49.7
Nashville,4752006-47037016100,8.3,6,12.5,37.8,37.2,71,19,77,69.2,15,26.6,31.1,36.9,43.7
Nashville,4752006-47037016200,10.1,7.8,17.3,45.5,40.8,71.5,20.1,81.6,73.2,12.1,27.1,36,40.6,45.5
Nashville,4752006-47037016300,8.1,6,13.3,37.6,35.8,67.8,17.4,77,69.2,14.5,25.5,31.1,37.6,43.6
Nashville,4752006-47037016400,4.2,2.8,3.9,15.7,21.7,56.7,12.7,60,62.1,21.4,17.6,19,20.2,34.8
Nashville,4752006-47037016500,3.1,0.9,1.5,10.3,12.7,43.4,14.4,26.4,59.4,22.4,18.8,18.2,19.4,36.3
Nashville,4752006-47037016600,4.1,3.5,6.2,22.4,28.1,73.7,10.4,70.2,64,19.1,15.6,17.9,23.9,35.3
Nashville,4752006-47037016700,4.5,5,6.5,27.7,34.2,81.8,6.7,78.8,69.7,18.3,11.6,15.5,21.5,30.9
Nashville,4752006-47037016800,3.3,2.6,4.2,18.5,26,73.1,8.1,64.9,62.9,21.9,14,14.4,21.6,33.7
Nashville,4752006-47037016900,3.7,3.2,5.4,23,29.9,80,6.9,72.2,66.2,21.1,12.9,14,23,33
Nashville,4752006-47037017000,3.8,2.7,5.5,20.6,24.7,65,10.4,68.6,64.9,21.9,16.4,17.1,23.5,35.4
Nashville,4752006-47037017100,3.9,3.5,7.2,26.8,29.1,78.2,8.9,75.5,68.1,20.4,14.8,16.7,26,35.8
Nashville,4752006-47037017200,9.9,7.7,11.7,35.8,40.3,72.9,19.5,76.9,66.2,15.3,26,31.2,33.6,39.1
Nashville,4752006-47037017300,9.3,7,12.7,36.1,40.3,68.2,25,75.4,65.2,14.5,27.4,35.3,35.5,42.1
Nashville,4752006-47037017401,8.3,6.3,10.9,34.2,37.5,70.8,22.4,74.5,66.1,16.2,26.5,31.9,34.7,41.7
Nashville,4752006-47037017402,7.1,5.3,9.1,30.7,34.7,69,19.1,72.1,65.6,16.6,23.1,27.7,32.1,39.9
Nashville,4752006-47037017500,10.4,7.9,12.2,36,40.4,71.8,22,77,66.1,14.9,27.5,33.5,34.1,40
Nashville,4752006-47037017701,4.3,4.2,5.9,25.6,32.7,83.7,6.7,75.6,68.4,19.7,13.3,15.1,23.1,32.2
Nashville,4752006-47037017702,4.4,3.8,5.3,22,29.4,73,8.2,73,67,21.8,14.3,15.5,21.2,32.7
Nashville,4752006-47037017800,4.4,3.9,6,24.4,31,78.5,7.6,73.9,66.6,19.8,14.1,15.7,23.7,33.3
Nashville,4752006-47037017901,5.2,6.1,8.1,32.9,38.5,85.9,6.1,82.7,72.8,16.2,10.7,16.3,22.4,30
Nashville,4752006-47037017902,5.6,6.7,8.4,33.8,38.6,86,6.9,82.8,73,14.9,11.5,18.2,22.7,30.4
Nashville,4752006-47037018000,4.5,5.2,7.1,30,36.6,85.5,5.5,80.5,71.4,17.2,10.5,14.6,22.4,30.4
Nashville,4752006-47037018101,6.9,4.8,8.5,29.7,33.5,67.7,18.3,70.5,65.6,16.8,24.4,27.2,31.2,41
Nashville,4752006-47037018102,6.5,7.3,9.5,36.5,40.9,86.7,7.3,83.6,73.8,14.6,13,19.7,24.1,31.6
Nashville,4752006-47037018201,5.2,5.7,7.8,32,38.1,86.8,6.4,80.7,71.7,17.3,12.5,16.4,23.7,31.7
Nashville,4752006-47037018202,5.5,4.4,7,26.2,31.6,75.2,10.7,72.3,66.9,17.9,17.9,20.1,27.3,36.5
Nashville,4752006-47037018203,5.4,6,7.9,33.1,39.2,87.9,6.3,81.3,72.4,16.7,12.4,16.8,23.7,31.1
Nashville,4752006-47037018301,6.5,5.5,8.6,31.9,37.2,78.7,11.8,76.5,68.1,17.4,19.4,22,28.1,36.8
Nashville,4752006-47037018302,5,4.2,6.6,27.3,33.9,83.8,7.9,74.9,68,19.9,16.6,17.1,25.8,34.8
Nashville,4752006-47037018401,5.7,4.7,7.4,27.9,33.6,76.9,10.5,74.4,67.8,18.2,17.9,20.2,26.6,36.3
Nashville,4752006-47037018404,5.7,5.6,7.9,30.8,35.9,81.8,9.1,79,70.5,16.9,14.8,19.4,25,33.7
Nashville,4752006-47037018405,5.5,4.9,7.7,29.8,36.3,85.4,7.6,77.7,69.8,18.3,15.9,17.9,26.3,34.7
Nashville,4752006-47037018407,5.5,4.9,8.1,30.2,37.1,85.5,7.5,77.9,69.9,17.4,15.6,18.2,26.4,34.9
Nashville,4752006-47037018408,4.8,4.3,7.2,28.4,35.5,86.6,6.7,77.1,69.9,18.2,14,16.2,25.2,33.9
Nashville,4752006-47037018409,7.7,8.3,10.5,38.7,42.1,87.2,8.8,84.9,74.9,13.4,14.5,22.4,24.9,32.3
Nashville,4752006-47037018410,5.6,4.5,7,28.4,34.1,76,10.6,75.1,67.5,18.5,18,20.2,25.6,35.8
Nashville,4752006-47037018500,4.6,5.2,6.9,29.7,36.1,87.2,6,79.5,71.2,17.8,11.7,15.3,23.1,31.1
Nashville,4752006-47037018601,5.2,5.7,8.4,33.4,40.4,89.2,5.3,81.6,72.9,16,11.2,15.6,24.6,30.9
Nashville,4752006-47037018602,5.1,6,8,33.5,39.7,88.2,5.7,82.1,73.2,16.2,10.9,15.7,22.8,30.5
Nashville,4752006-47037018700,5.1,5.7,8.1,32.8,39.8,88.7,5.4,81.8,72.9,16.4,11.1,15.3,23.8,30.6
Nashville,4752006-47037018801,5.1,5.2,7,29.2,35.3,83,7.6,78,69.4,18.7,14.4,17.2,23.9,32.8
Nashville,4752006-47037018803,4.7,4.7,7.1,28.6,35,83.4,7,78.2,69.7,17.9,12.9,16,24,32.5
Nashville,4752006-47037018804,5.5,5.1,8.2,31.3,37.5,85.4,7.7,79.1,70.6,17.1,15.2,18.2,25.5,34.6
Nashville,4752006-47037018901,7.5,6.4,9.8,34.5,38.1,74.3,14,77.1,67.8,16.4,21.6,25.6,30.5,38.2
Nashville,4752006-47037018902,6.4,5.6,8.3,31.1,36.5,76.7,12.7,76.5,67.3,17.8,18.7,22.1,27.6,35.7
Nashville,4752006-47037018904,7.7,5.9,9.9,33.4,36.9,68.5,20.7,73.8,65.7,15.8,23.8,29.3,32.5,40.1
Nashville,4752006-47037018905,4.9,3.4,6.1,23.2,28.9,70,16.3,66.2,63.2,20,20,21.6,27.6,37.8
Nashville,4752006-47037019003,7.4,5.2,10.1,30.7,35.4,61,30.5,68.5,62.1,15.6,26.1,34.5,35.6,42
Nashville,4752006-47037019004,9.9,6.9,12.4,34,38,64.3,29.9,72.4,63.7,14.1,30.5,38.4,37,43.8
Nashville,4752006-47037019005,8.9,5.7,12.1,35.4,36,65.2,26.5,72.4,67.1,13.9,30.5,36.5,38.6,46.1
Nashville,4752006-47037019006,8.3,6.2,11.5,35.5,38,68.4,24.4,74.7,66.5,14.9,26.5,33.7,34.7,43.1
Nashville,4752006-47037019105,8.1,5.9,9.9,31.1,36.3,68.5,20.7,73.5,64.9,15.1,25.1,30.6,29.6,40.7
Nashville,4752006-47037019106,4.1,3,5.3,22.1,28,75.5,9.9,68.5,65,21.4,16.8,16.9,24.9,35.9
Nashville,4752006-47037019108,7,4.5,8.9,29.7,33,60.5,30,66.7,62.8,16.9,27.3,33,35.3,43
Nashville,4752006-47037019109,8.1,5.7,10.8,33.9,37.2,71.2,22.5,74.6,66.3,15.9,26.2,31.3,34.5,42
Nashville,4752006-47037019110,8.7,6.2,10.8,33.8,37.9,70,23.6,74.7,65.7,16.1,26.5,32,34,41.2
Nashville,4752006-47037019111,5.7,3.7,7.8,26.8,29.8,72.2,17.4,69.2,66.5,17.7,23,25.3,32.1,41.7
Nashville,4752006-47037019112,6.3,4.5,9.5,31,33.4,73.2,17.6,73,66.7,16.7,24,27.2,33.1,42.4
Nashville,4752006-47037019114,4.3,3.2,5.8,23.7,29.5,79.5,9.7,70.4,66,21,17.7,17.4,25.9,36.7
Nashville,4752006-47037019115,4.9,4.4,7.7,28.4,34.3,84.9,8,76.9,69.5,17.8,15.1,17.7,26.2,35.3
Nashville,4752006-47037019116,5.5,4,7.2,26.7,31.7,76.2,11.5,71.9,66.5,18.7,20.1,20.9,28.7,38.3
Nashville,4752006-47037019117,4.8,3.7,7.7,27.8,30.5,79.4,12.1,72.5,68.7,18.3,19.6,21.1,30.4,40.5
Nashville,4752006-47037019118,5.1,3,6.7,24.4,26.6,69.3,17.6,64.4,65.7,18.1,23.3,24.7,32.2,42.3
Nashville,4752006-47037019200,7.2,5.2,9.8,32.4,34.5,74.9,14.6,74.7,67.6,16.6,24,26.1,33.3,40.7
Nashville,4752006-47037019300,14.7,8.4,18,44.5,39.8,59.3,30.7,74.9,69.9,9.6,40.2,48.1,48.7,51.2
Nashville,4752006-47037019400,6,5,10.8,36.3,34.4,74.8,13.7,77.2,70.6,15.7,20.2,24.4,33.9,41
Nashville,4752006-47037019500,5.1,4,7.6,27.5,30.5,71.1,13.6,68.4,64.2,20.6,21.4,21,30.5,39.7
Nashville,4752006-47037019600,7.4,5.7,9.2,32.4,35.4,72.9,16.8,74.1,67.3,17.2,23.9,26.6,31.8,40.1
